CSP_ID	SCORED_TICKETS	WITHIN_TAT	BREACHED	KAPTURE_FIRST_ANY	SYNC_LOSS	UNFAIR_BREACH
a0b9m4	98	78	19	9	0	0
a0b8z5	97	85	12	1	0	0
a0b5t9	95	91	4	2	0	0
a0b6b3	94	74	20	2	0	0
a0b5l9	94	77	17	5	0	0
a0b9n5	93	89	3	9	0	0
a0a7a8	92	57	35	8	0	0
a0b5n2	91	84	7	2	0	0
a0b6o4	91	73	18	3	0	0
a0b9m6	90	80	10	0	0	0
a0c0c8	90	87	0	2	1	0
a0a7a5	90	85	5	1	0	0
a0b5m0	89	72	17	5	0	0
a0b7a7	88	78	10	1	0	0
a0b5x1	88	85	3	2	0	0
a0b6f0	87	82	5	5	0	0
a0b6y3	87	76	11	2	0	0
a0b6u0	87	75	12	0	0	0
a0b8y6	87	81	6	1	0	0
a0b9t7	85	80	5	1	0	0
a0c0e1	85	81	4	1	0	0
a0b9v8	84	84	0	2	1	0
a0b6y5	82	79	3	1	0	0
a0b9f6	82	40	6	42	4	0
a0b9b9	82	69	13	0	0	0
a0b7b7	81	75	6	2	1	0
a0b6f2	81	75	6	3	0	0
a0b9a4	81	75	6	1	0	0
a0a7g6	80	75	5	1	0	0
a0c0g8	79	47	32	5	0	0
a0b5m1	79	63	16	6	0	0
a0b6j2	79	79	0	1	0	0
a0b8w7	79	74	5	4	0	0
a0b7i5	78	69	9	5	0	0
a0a7g7	78	77	1	3	1	0
a0b6p8	77	71	6	3	0	0
a0b7c2	77	69	8	1	0	0
a0b7c6	76	75	1	1	0	0
a0b9j3	75	72	3	4	0	0
a0b8w8	74	71	3	3	0	0
a0b5v4	73	61	12	2	0	0
a0b6g2	73	60	13	2	0	0
a0b9n2	72	50	22	6	0	0
a0a7g1	72	64	8	0	0	0
a0b6h4	72	69	3	3	0	0
a0b7h7	71	66	5	2	0	0
a0b6p0	71	65	6	4	1	0
a0b6v3	70	65	5	1	0	0
a0b8x1	70	50	20	3	0	0
a0b8u7	70	27	43	15	0	0
a0b8v7	70	66	4	4	0	0
a0b9j7	70	70	0	3	0	0
a0b8w1	69	58	11	3	0	0
a0b6i1	69	67	2	2	0	0
a0b6e0	67	65	2	1	0	0
a0a6z8	66	55	11	6	0	0
a0b8r5	66	66	0	3	0	0
a0b9y5	66	52	14	1	0	0
a0b9x8	65	64	1	0	0	0
a0a7g9	64	54	10	2	0	0
a0b5r1	64	54	10	7	0	0
a0a7c5	64	63	1	0	0	0
a0a7d3	64	62	2	2	0	0
a0a6y5	64	42	18	9	1	0
a0b9m3	63	56	7	3	0	0
a0b8y3	63	48	15	5	0	0
a0b6h8	63	54	9	4	0	0
a0c0d9	63	51	12	3	0	0
a0b8s0	62	59	3	2	0	0
a0b7b4	62	52	10	5	0	0
a0b5n7	62	52	10	1	0	0
a0b9v4	62	52	10	4	0	0
a0a7a6	62	46	16	2	1	0
a0b9e2	62	45	17	0	0	0
a0b9a9	61	55	6	5	0	0
a0b9n8	61	0	0	61	3	0
a0b5o6	61	55	6	1	0	0
a0b5u5	61	58	3	1	0	0
a0b8z9	60	54	6	0	0	0
a0a7d5	59	37	8	17	0	0
a0b5m5	59	42	16	3	0	0
a0b6v9	59	57	2	0	0	0
a0b9x7	59	59	0	0	0	0
a0b6a9	58	57	1	1	0	0
